Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
"0,0793","0,122","96,65","0,0344","0,815","0,945",3,"0,18",0,207000,"0,0569377105109423","0,06",0,audio_features,4B7DGeTR4HpPko4kivGU9G,Sleepy,The Sameness of Phosphorus and Hesperus,Ave Air,I Know You Have Been There
"0,0664","0,0817","159,506","0,0405","0,958","0,924",4,"0,115",1,201000,"0,0480673301099361","0,038",1,audio_features,1WYZio6NAhl2ykJs2jBXuO,Sleepy,Frangibility,Spheres,Frangibility
"0,163","0,0932","76,074","0,0368","0,867","0,908",4,"0,0793",0,201436,"0,077947106816465","0,0347",0,audio_features,7gGiPzciQGoxl8NfE5alBj,Sleepy,Way of Life,Arush Mandal,Way of Life
"0,0145","0,0929","65,623","0,0421","0,99","0,922",4,"0,22",9,187500,"0,024811327426095","0,156",1,audio_features,6VpiWp5wBEjHTYWojGEqxY,Sleepy,Carpe Noctem,Alma Grøtte,Carpe Noctem
"0,0372","0,109","69,152","0,0429","0,84","0,759",3,"0,0619",8,246913,"0,0412287340722887","0,0413",1,audio_features,1aCZehILgQ3QzHAFOdrKxb,Sleepy,Stalagmites,Luna Lighthouse,Inhibitions
"0,0982","0,0923","175,118","0,0433","0,942","0,9",3,"0,0767",9,285351,"0,0829564196705293","0,0354",0,audio_features,1OuoyUJbN3y8cEJkoTEVtO,Sleepy,Nova,Matter and Energy,Dark Matter
"0,00679","0,115","62,001","0,039","0,993","0,925",4,"0,143",10,218500,"0,0297063983188076","0,0624",0,audio_features,775dmuIRQojrplsns8VKen,Sleepy,Schwebend,Phillipp Vogler,Schwebend
"0,0624","0,113","77,494","0,0359","0,911","0,864",4,"0,136",9,124417,"0,0710231614300866","0,037",0,audio_features,0k2baNK3JldkN4gBfIJUOo,Sleepy,Orbit,Epic Centre,Orbit
"0,121","0,101","85,191","0,047","0,781","0,816",4,"0,117",6,216620,"0,0733246502291183","0,0383",0,audio_features,1kCFx8lNstjQwXGBmKnciW,Sleepy,Sleep Well,Josep Alba,Getting Dark
"0,109","0,0888","76,163","0,0356","0,94","0,951",4,"0,115",2,247500,"0,0690319275209039","0,0391",0,audio_features,2mGpfyZuvwQT7qimhly4S1,Sleepy,Time Traveller,Momento,The Destination
"0,0878","0,111","78,782","0,044","0,928","0,882",4,"0,0713",5,210000,"0,0544502652842421","0,0595",1,audio_features,6i1azfJNXmsV9fNIA41tea,Sleepy,Breathe Out,Mayol,Descending
"0,0102","0,103","82,781","0,0326","0,992","0,907",4,"0,313",1,115971,"0,0695824954700605","0,0965",1,audio_features,3a14Ywse8vF62KNc7zI4wW,Sleepy,Sparkle,Silje Månsson,Sparkle
"0,0165","0,125","80,013","0,0311","0,986","0,917",4,"0,418",3,260992,"0,0341664612813822","0,0513",1,audio_features,57sxeemF1LxEGqZ9w4HQvi,Sleepy,Insomnia Curator,Dreamscaper,Surrendering
"0,00892","0,102","63,639","0,05","0,99","0,911",3,"0,368",10,161267,"0,0332851102653167","0,287",1,audio_features,4UlarjdicLUPbdssOxWbYX,Sleepy,Lily's Cradle,Benette,Lily's Cradle
"0,0148","0,107","75,587","0,041","0,977","0,892",4,"0,264",3,127865,"0,0356000001661675","0,0495",1,audio_features,7vfYsS34eZojVLXsknEj1J,Sleepy,My Sleeping Rose,Havanna Chandri,My Sleeping Rose
"0,0399","0,18","73,366","0,0721","0,992","0,894",4,"0,124",6,237500,"0,0327755508880542","0,0928",0,audio_features,5NDJhWYEfJbARTnlyXISpP,Sleepy,Trpělivost růže přináší,Václav Slezák,Trpělivost růže přináší
"0,103","0,0903","145,274","0,04","0,862","0,779",4,"0,18",5,226000,"0,0449779854893288","0,0386",1,audio_features,6eck4C7AFDsmv8AAwozNa1,Sleepy,Sangre,Pathos Humano,Sangre
"0,00559","0,107","68,708","0,0439","0,876","0,917",3,"0,282",0,142444,"0,0525291048450048","0,199",1,audio_features,3VLijD3p8nNHwz6cwJ7d9S,Sleepy,Portal,Fouad Elalamy,Portal
"0,00533","0,121","63,658","0,042","0,994","0,935",4,"0,327",2,137291,"0,0520415232703555","0,0636",1,audio_features,2CVoj73sTbBrfBoQTEk7yO,Sleepy,Like Home,Jakob Ahlbom,Forget
"0,00688","0,101","75,929","0,0414","0,981","0,837",3,"0,266",6,179000,"0,0281222458108192","0,0667",1,audio_features,2dtIoZ0tJ3EH3EcxAkGNE8,Sleepy,È ora di dormire,Scintillante,È ora di dormire
"0,00434","0,138","68,313","0,0444","0,992","0,905",3,"0,284",3,228039,"0,037462779834406","0,159",1,audio_features,1Wfu5TKZ6B6B7rkpIEmrUE,Sleepy,Nocturne,Vincent Fanguro,Peace Within
"0,0422","0,111","66,849","0,0445","0,971","0,901",4,"0,174",1,212250,"0,0365468541449424","0,0891",1,audio_features,1LLLm2nPAEw0F8nREc7mbe,Sleepy,In Peace,Donato Manna,In Peace
"0,0402","0,118","69,595","0,0435","0,989","0,92",3,"0,356",0,157195,"0,0533273496573098","0,299",1,audio_features,1KDGb7d3PHIOI6bLWgLFfV,Sleepy,Heading West,Luna Meguise,Heading West
"0,0417","0,112","43,513","0,034","0,902","0,903",4,"0,274",0,168537,"0,0668420867935228","0,0613",0,audio_features,5I3JZ3zvxKQMdp9rEcGkiR,Sleepy,Pads of Redemption,Masala Roo,Pads of Redemption
"0,032","0,11","74,699","0,0422","0,931","0,834",3,"0,0695",3,256731,"0,0311099992042456","0,137",1,audio_features,7xC69b3ezFngpneuu7SVkU,Sleepy,Nightscapes,Dreamscaper,Pending Mind
